"image_name","date","scanner","Predicted.class","x","y","ID","distance_root_growth_obs","distance_root_mature_obs","distance_root_growth_mean_exp","distance_root_growth_sd_exp","distance_root_mature_mean_exp","distance_root_mature_sd_exp"
"AF_C20_E_2025-02-20_00H00M","2025-02-20T00:00:00Z","AF_C20_E","gastropoda",6000,1726.5,1,586.804931640625,816.647399902344,1273.72341896057,803.446712017983,1138.77904541016,759.556491226128
"AF_C20_E_2025-02-20_00H00M","2025-02-20T00:00:00Z","AF_C20_E","collembola",5194.5,6366,2,923.968078613281,858.418334960938,1085.42443122864,723.148893304028,1009.89086639404,736.732824815501
"AF_C20_E_2025-02-20_00H00M","2025-02-20T00:00:00Z","AF_C20_E","enchytraeidae",8346.5,3772.5,3,822.411071777344,1855.90649414062,1130.866329422,592.464562229852,1098.53611053467,556.682311964242
"AF_C20_E_2025-02-20_00H00M","2025-02-20T00:00:00Z","AF_C20_E","gastropoda",6305.5,1943.5,4,264.037872314453,442.652221679688,1012.99287567139,618.871853683866,1009.39818161011,532.403049091567
"AF_C20_E_2025-02-20_00H00M","2025-02-20T00:00:00Z","AF_C20_E","gastropoda",361,7348.5,5,1451.595703125,1521.05883789062,1126.58500862122,695.402247870406,927.704996242523,606.681687861768
"AF_C20_E_2025-02-20_00H00M","2025-02-20T00:00:00Z","AF_C20_E","unknown",1049,3782.5,6,2882.25366210938,1994.92651367188,1009.63082702637,654.861061460334,911.117473917007,605.838310790564
"AF_C20_E_2025-02-20_00H00M","2025-02-20T00:00:00Z","AF_C20_E","gastropoda",319,13947,7,3206.91870117188,2842.31591796875,1007.38559417725,659.892531172323,848.297816619873,599.212869521313
"AF_C20_E_2025-02-20_00H00M","2025-02-20T00:00:00Z","AF_C20_E","unknown",2563,2373,8,2172.6455078125,1006.92004394531,1018.83260177612,717.613212471632,1023.58788159132,629.402723055041
"AF_C20_E_2025-02-20_00H00M","2025-02-20T00:00:00Z","AF_C20_E","gastropoda",2213,10968.5,9,305.203216552734,295.042358398438,781.798118209839,560.705558681376,851.764745483398,637.738680951481
"AF_C20_E_2025-02-20_00H00M","2025-02-20T00:00:00Z","AF_C20_E","collembola",1532,2227.5,10,1442.53247070312,1451.98693847656,1111.0065473175,718.639876085063,1027.05543304443,702.832228942109
"AF_C20_E_2025-02-21_00H00M","2025-02-21T00:00:00Z","AF_C20_E","unknown",288.5,9844,1,1039.83557128906,1718.35852050781,1512.15276397705,937.42967845471,876.443029136658,581.978023703212
"AF_C20_E_2025-02-21_00H00M","2025-02-21T00:00:00Z","AF_C20_E","collembola",5164.5,13920.5,2,3847.5966796875,205.039016723633,1550.43608093262,1082.80794455766,763.711546311378,457.965735908016
"AF_C20_E_2025-02-21_00H00M","2025-02-21T00:00:00Z","AF_C20_E","enchytraeidae",9894,3875.5,3,2601.20166015625,1916.3154296875,1700.90079271317,832.209312151073,724.236803283691,525.506624894736
"AF_C20_E_2025-02-21_00H00M","2025-02-21T00:00:00Z","AF_C20_E","enchytraeidae",255,10652.5,4,1769.69372558594,1654.42016601562,1505.70632446289,948.267032710316,760.659128570557,433.192028596481
"AF_C20_E_2025-02-21_00H00M","2025-02-21T00:00:00Z","AF_C20_E","collembola",8367.5,6518.5,5,441.235778808594,107.935165405273,1430.01378200531,875.35130261291,678.568860855103,514.124135131841
"AF_C20_E_2025-02-21_12H01M","2025-02-21T12:01:00Z","AF_C20_E","collembola",7216.5,3430,1,217.082931518555,1229.88293457031,865.48336763382,574.663519181411,1282.50925682068,755.703048066226
"AF_C20_E_2025-02-21_12H01M","2025-02-21T12:01:00Z","AF_C20_E","collembola",7288.5,4457.5,2,999.602416992188,1464.04162597656,913.00211315155,542.583950387909,1260.76640579224,723.225129591194
"AF_C20_E_2025-02-21_12H01M","2025-02-21T12:01:00Z","AF_C20_E","julida",8097,2799.5,3,590.203369140625,1468.84985351562,971.170875549316,605.534145054658,1437.46784912109,716.461010545199
"AF_C20_E_2025-02-21_12H01M","2025-02-21T12:01:00Z","AF_C20_E","gastropoda",9075.5,2781,4,1227.1796875,2285.28881835938,835.92536567688,558.796955740742,1203.14547433853,685.287693938873
"AF_C20_E_2025-02-21_12H01M","2025-02-21T12:01:00Z","AF_C20_E","gastropoda",2745,13121.5,5,659.037170410156,626.386474609375,885.135487823486,546.205764280592,1239.51590759277,686.334196217621
"AF_C20_E_2025-02-21_12H01M","2025-02-21T12:01:00Z","AF_C20_E","gastropoda",6693.5,1031.5,6,423.170166015625,613.821655273438,822.492107696533,488.319661402448,1031.88718780518,547.97838597799
"AF_C20_E_2025-02-21_12H01M","2025-02-21T12:01:00Z","AF_C20_E","gastropoda",2945,5099,7,835.121520996094,919.197998046875,905.038248138428,537.749543070618,1141.61834136963,722.655603899341
"AF_C20_E_2025-02-21_12H01M","2025-02-21T12:01:00Z","AF_C20_E","collembola",6402.5,3246,8,466.861877441406,732.013671875,930.041202850342,614.338856346027,1260.17721694946,644.941732350784
"AF_C20_E_2025-04-20_00H01M","2025-04-20T00:01:00Z","AF_C20_E","enchytraeidae",8336.5,2358.5,1,444.866271972656,430.67041015625,1044.1392483139,769.587126725271,848.313187866211,598.613636650172
"AF_C20_E_2025-04-20_00H01M","2025-04-20T00:01:00Z","AF_C20_E","collembola",1505,13256.5,2,2056.45336914062,1913.71313476562,1326.92300643921,873.913063585274,961.869790115356,744.478028583386
"AF_C20_E_2025-04-20_00H01M","2025-04-20T00:01:00Z","AF_C20_E","unknown",7231,1131.5,3,423.180816650391,207.46565246582,1275.45119110107,702.481611771466,1080.07615959167,622.819784158104
"AF_C20_E_2025-04-20_00H01M","2025-04-20T00:01:00Z","AF_C20_E","julida",5657,10132,4,15.6204996109009,1185.98645019531,1143.15728851318,945.910341227948,1051.065350914,617.462451810542
"AF_C20_E_2025-04-20_00H01M","2025-04-20T00:01:00Z","AF_C20_E","gastropoda",1130.5,6522,5,2685.564453125,1122.22863769531,1304.77564250946,978.635437112427,1085.44329223633,557.478021337563
"AF_C20_E_2025-04-20_00H01M","2025-04-20T00:01:00Z","AF_C20_E","unknown",5676.5,10447,6,257.007781982422,1290.09838867188,1059.82493686676,811.738163430351,955.834285888672,510.810565116316
"AF_C20_E_2025-04-20_12H01M","2025-04-20T12:01:00Z","AF_C20_E","gastropoda",6960,524.5,1,972.070495605469,676.113891601562,1040.54685295105,649.782304189818,1059.45570083618,545.878071670352
"AF_C20_E_2025-04-20_12H01M","2025-04-20T12:01:00Z","AF_C20_E","symphyla",8050,1337.5,2,395.126556396484,430.464874267578,1096.92217729568,848.666182083282,1014.36082000732,705.251764590465
"AF_C20_E_2025-04-20_12H01M","2025-04-20T12:01:00Z","AF_C20_E","collembola",8132.5,6749.5,3,157,517.984558105469,966.126812896729,724.890067002601,1014.42660896301,581.306234371847
"AF_C20_E_2025-04-21_00H01M","2025-04-21T00:01:00Z","AF_C20_E","enchytraeidae",8011,7157.5,1,91.0054931640625,542.609436035156,1086.20781692505,925.240799695343,876.884515533447,530.740110694759
"AF_C20_E_2025-04-21_00H01M","2025-04-21T00:01:00Z","AF_C20_E","gastropoda",6087,3084.5,2,536.479248046875,334.06884765625,1221.00394485474,976.172210515759,925.825149536133,531.980188255993
"AF_C20_E_2025-04-21_00H01M","2025-04-21T00:01:00Z","AF_C20_E","gastropoda",3982.5,1338,3,1357.82800292969,1195.82312011719,1383.04619407654,1225.69609406562,1168.10648788452,581.354009616038
"AF_C20_E_2025-04-21_00H01M","2025-04-21T00:01:00Z","AF_C20_E","unknown",9468,13879.5,4,936.051818847656,2550.78125,1388.55611763,1215.42499389364,938.613527755737,568.85387660293
"AF_C20_E_2025-04-21_00H01M","2025-04-21T00:01:00Z","AF_C20_E","symphyla",8350,5870.5,5,260.094207763672,137.266159057617,1625.72615501404,1295.33390264569,1148.01593505859,596.897727954137
"AF_C20_E_2025-04-21_00H01M","2025-04-21T00:01:00Z","AF_C20_E","collembola",3379,9498,6,2102.4873046875,799.090087890625,1411.06511978149,1012.89919891262,1064.69050354004,595.346523816181
"AF_C20_E_2025-04-21_00H01M","2025-04-21T00:01:00Z","AF_C20_E","gastropoda",849,1921.5,7,3171.6826171875,1026.02197265625,1125.01593719482,1030.60857662006,995.166179656982,526.075393170148
"AF_C20_E_2025-04-21_00H01M","2025-04-21T00:01:00Z","AF_C20_E","unknown",7442.5,10487,8,673.379516601562,785.678039550781,1271.24918685913,985.69153392741,861.558066558838,474.190014043559
"AF_C20_E_2025-04-21_12H01M","2025-04-21T12:01:00Z","AF_C20_E","gastropoda",6996.5,2456.5,1,8.24621105194092,451.738861083984,961.981491851807,878.480997771325,900.716418275833,568.559696601613
"AF_C20_E_2025-04-21_12H01M","2025-04-21T12:01:00Z","AF_C20_E","gastropoda",3701.5,2605.5,2,535.29150390625,799.673034667969,1054.6987436676,889.759543133721,1025.13072120666,542.890660218559
"AF_C20_E_2025-04-21_12H01M","2025-04-21T12:01:00Z","AF_C20_E","gastropoda",3155,2986,3,835.402893066406,1191.04992675781,933.438759689331,814.129054254,1077.38824188232,751.140375765738
"AF_C20_E_2025-04-21_12H01M","2025-04-21T12:01:00Z","AF_C20_E","symphyla",8340.5,5854.5,4,397.468231201172,125.159896850586,889.95093711853,794.549706741795,1006.48399597168,570.17138552144
"AF_C20_E_2025-04-21_12H01M","2025-04-21T12:01:00Z","AF_C20_E","symphyla",4973,11999,5,363.589050292969,512.837219238281,1018.63254364014,806.600403982149,1201.18627170563,667.479276694531
"AF_C20_E_2025-04-21_12H01M","2025-04-21T12:01:00Z","AF_C20_E","enchytraeidae",8038.5,7192.5,6,55.7584075927734,580.66943359375,1013.86834415436,834.069855317891,1030.22609939575,601.183724942755
"AF_C20_E_2025-04-21_12H01M","2025-04-21T12:01:00Z","AF_C20_E","unknown",3842.5,9297.5,7,1952.10681152344,1274.91369628906,919.38684173584,649.84762846976,1147.81538619995,697.933366779214
"AF_C20_E_2025-04-21_12H01M","2025-04-21T12:01:00Z","AF_C20_E","gastropoda",5662.5,1970.5,8,713.046997070312,496.037292480469,1046.66084777832,742.807220804963,1008.4040541172,659.987767362905
"AF_C20_E_2025-04-21_12H01M","2025-04-21T12:01:00Z","AF_C20_E","acari",8667.5,10652.5,9,666.32275390625,627.9697265625,824.115223999023,661.864946148205,917.432987880707,533.100836296347
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","gastropoda",7448,11225,1,127.094451904297,1470.17578125,1311.54231804848,1006.6676614983,994.991154327393,699.719477778785
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","gastropoda",9151.5,8611.5,2,6.32455539703369,494.772674560547,1087.29194618225,850.074726988012,968.210736846924,627.925767177846
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","unknown",8214,3669,3,29.5296459197998,587.817993164062,1284.83043910027,899.858089786687,1183.21132156372,714.796935829173
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","insecta larva",8013,7769.5,4,100.179840087891,849.065979003906,1097.59432876587,1003.1911239066,918.189312438965,656.991948681148
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","acari",8706,10577.5,5,719.922241210938,598.923217773438,1000.81808837891,860.752527123063,941.645227508545,508.626124952174
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","gastropoda",6261.5,8777.5,6,107.200744628906,795.495422363281,836.748193283081,833.95446208082,889.145441942215,658.932413267453
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","unknown",6508.5,9428,7,0,429.260986328125,1074.71104351044,787.383527800936,1105.0065145874,530.580286521085
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","collembola",3382,9503,8,832.91357421875,801.159790039062,1042.47199047089,802.879229728653,986.880059356689,599.91213490415
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","gastropoda",3289,5579.5,9,0,1264.96875,913.17864112854,840.849092135159,887.284637756348,602.230464855171
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","unknown",2849.5,7024.5,10,1227.58508300781,1522.06506347656,911.237376861572,888.2224654591,995.135249843597,651.243440139747
"AF_C20_E_2025-04-22_00H01M","2025-04-22T00:01:00Z","AF_C20_E","gastropoda",9644,4496.5,11,615.646789550781,1718.51330566406,1017.8815409565,974.719400748242,927.382693357468,634.205338819786
"AF_C20_E_2025-04-22_12H01M","2025-04-22T12:01:00Z","AF_C20_E","acari",9507,10319.5,1,245.601303100586,731.984985351562,902.891753249168,806.188767805086,993.907698516846,653.643154875598
"AF_C20_E_2025-04-22_12H01M","2025-04-22T12:01:00Z","AF_C20_E","gastropoda",6158,745.5,2,563.256591796875,1136.95202636719,1028.43737068176,933.49641912456,980.797916641235,602.701344175039
"AF_C20_E_2025-04-22_12H01M","2025-04-22T12:01:00Z","AF_C20_E","multi_taxa",9326.5,8335.5,3,29,657.985534667969,935.856938216686,796.811356439638,1031.09948940277,643.435716078602
"AF_C20_E_2025-04-22_12H01M","2025-04-22T12:01:00Z","AF_C20_E","gastropoda",5217.5,2539,4,464.226226806641,607.068359375,905.258439979553,573.808833809061,1019.95184211731,528.620299862139
"AF_C20_E_2025-04-22_12H01M","2025-04-22T12:01:00Z","AF_C20_E","gastropoda",9023,4161,5,471.332153320312,1342.56811523438,891.072156219482,745.483076683348,1090.76978561401,620.519048255895
"AF_C20_E_2025-04-23_00H01M","2025-04-23T00:01:00Z","AF_C20_E","unknown",4572.5,2832.5,1,30.0832176208496,87.6641311645508,1631.60104751587,1671.67771644442,842.193579559326,538.526684258852
"AF_C20_E_2025-04-23_00H01M","2025-04-23T00:01:00Z","AF_C20_E","acari",372,3382,2,2727.37963867188,2282.001953125,1727.91342514038,1511.16061795691,929.479996337891,607.85693700567
"AF_C20_E_2025-04-23_12H01M","2025-04-23T12:01:00Z","AF_C20_E","symphyla",9296.5,2270,1,171.95930480957,290.642395019531,794.735166091919,668.411317802784,1273.05175140381,749.343236593997
"AF_C20_E_2025-04-23_12H01M","2025-04-23T12:01:00Z","AF_C20_E","acari",6850,5398.5,2,125.431259155273,134.063415527344,886.112282485962,745.770594105747,1230.43695068359,776.141905916185
"AF_C20_E_2025-04-23_12H01M","2025-04-23T12:01:00Z","AF_C20_E","unknown",7811,5999.5,3,430.712188720703,871.16015625,720.057190063,572.478753111288,967.655145263672,659.851890974155
"AF_C20_E_2025-04-23_12H01M","2025-04-23T12:01:00Z","AF_C20_E","collembola",9676,7591,4,4.12310552597046,1263.96081542969,771.816050224304,736.373832597504,1041.59202136993,619.352777183647
"AF_C20_E_2025-04-24_00H01M","2025-04-24T00:01:00Z","AF_C20_E","enchytraeidae",2067,6052,1,1554.060546875,1341.15515136719,1130.62579147339,1083.11351313786,991.999671936035,600.529048432426
"AF_C20_E_2025-04-24_00H01M","2025-04-24T00:01:00Z","AF_C20_E","acari",9193.5,13959,2,825.620971679688,1753.8076171875,1028.32486946106,1021.04105370064,911.091661987305,579.438819407037
"AF_C20_E_2025-04-24_00H01M","2025-04-24T00:01:00Z","AF_C20_E","lumbricidae",4485,13727.5,3,3265.81762695312,1672.3564453125,1369.29865325928,1050.43987809805,867.439723968506,585.80841401697
"AF_C20_E_2025-04-24_00H01M","2025-04-24T00:01:00Z","AF_C20_E","acari",2131,5036,4,768.761352539062,901.792114257812,1074.79153945923,980.930874853654,874.627640380859,536.532351983301
"AF_C20_E_2025-04-24_00H01M","2025-04-24T00:01:00Z","AF_C20_E","lumbricidae",5198,13718,5,2941.80517578125,1466.02355957031,913.872236952782,928.451150861876,753.141604156494,519.808041098628
"AF_C20_E_2025-04-24_00H01M","2025-04-24T00:01:00Z","AF_C20_E","unknown",8939,3661.5,6,209.602005004883,211.454483032227,1078.31998052597,1018.82121086779,650.433735990524,441.25596572374
"AF_C20_E_2025-04-24_00H01M","2025-04-24T00:01:00Z","AF_C20_E","unknown",9268.5,9278.5,7,18.0277557373047,642.365966796875,1107.64590240479,1018.08331952231,930.973179855347,486.314409820464
"AF_C20_E_2025-04-24_00H01M","2025-04-24T00:01:00Z","AF_C20_E","lumbricidae",4001,13839,8,3231.951171875,2033.5439453125,1376.66492782593,1236.01369846831,945.223384246826,522.053375349348
"AF_C20_E_2025-04-24_00H01M","2025-04-24T00:01:00Z","AF_C20_E","gastropoda",4120,6809.5,9,289.679138183594,348.311645507812,1264.72858566284,1021.69321619223,949.135344696045,492.237604633742
"AF_C20_E_2025-04-25_00H00M","2025-04-25T00:00:00Z","AF_C20_E","gastropoda",1253,3144.5,1,1943.59045410156,2013.4033203125,812.989608917236,672.074047252373,870.269221343994,549.624807418571
"AF_C20_E_2025-04-25_00H00M","2025-04-25T00:00:00Z","AF_C20_E","unknown",4205,1414,2,695.431518554688,947.662414550781,968.749087667465,831.340567449295,929.723574714661,643.469836844381
"AF_C20_E_2025-04-25_00H00M","2025-04-25T00:00:00Z","AF_C20_E","unknown",4595.5,2865.5,3,205.548049926758,117.953384399414,898.385115356445,870.06954091041,930.741120147705,649.53647315781
"AF_C20_E_2025-04-25_00H00M","2025-04-25T00:00:00Z","AF_C20_E","gastropoda",8703.5,2801.5,4,177.814514160156,649.395080566406,842.510362591744,806.656947350863,838.089127044678,561.837509736055
"AF_C20_E_2025-04-25_00H00M","2025-04-25T00:00:00Z","AF_C20_E","unknown",5075,8774.5,5,300.847137451172,394.777160644531,702.952634320259,632.5398899592,827.003195343018,503.682961731651
"AF_C20_E_2025-04-25_00H00M","2025-04-25T00:00:00Z","AF_C20_E","gastropoda",6660.5,7010.5,6,202.237487792969,450.138854980469,1001.95328548431,898.647379021623,999.46464214325,691.186269456586
"AF_C20_E_2025-04-25_00H00M","2025-04-25T00:00:00Z","AF_C20_E","multi_taxa",9292.5,1391,7,10,405.881744384766,999.573809700012,996.371243763837,983.35708694458,586.151400367499
"AF_C20_E_2025-04-25_00H00M","2025-04-25T00:00:00Z","AF_C20_E","gastropoda",1438.5,8124.5,8,2235.17724609375,1710.94738769531,1132.70350624084,818.554241340615,1073.89604614258,490.506897735174
"AF_C20_E_2025-04-25_00H00M","2025-04-25T00:00:00Z","AF_C20_E","unknown",9496.5,3553,9,173.761337280273,647.765380859375,711.817148132324,627.44809229518,952.012569274902,521.382999279019
"AF_C20_E_2025-04-25_00H00M","2025-04-25T00:00:00Z","AF_C20_E","unknown",2742,3969.5,10,251.097595214844,413.483978271484,906.854147453308,739.334821161589,972.361813354492,511.258255071675
